x_value,total_1,total_2
0,1000,1000
1,997,998
2,996,993
3,997,992
4,991,996
5,987,994
6,988,995
7,992,998
8,994,995
9,1000,1000
10,1007,1006
11,1011,1006
12,1017,1006
13,1013,1004
14,1021,1007
15,1029,1005
16,1023,1003
17,1024,1007
18,1028,1005
19,1036,1007
20,1042,1007
21,1049,1013
22,1056,1014
23,1063,1019
24,1071,1015
25,1071,1013
26,1066,1019
27,1069,1024
28,1064,1025
29,1059,1029
30,1063,1033
31,1057,1032
32,1058,1035
33,1056,1037
34,1060,1037
35,1063,1034
36,1061,1036
37,1059,1041
38,1060,1041
39,1055,1042
40,1061,1046
41,1057,1050
42,1065,1050
43,1066,1050
44,1066,1051
45,1060,1051
46,1060,1054
47,1059,1052
48,1054,1054
49,1053,1049
50,1061,1055
51,1056,1051
52,1056,1057
53,1052,1055
54,1059,1060
55,1057,1063
56,1057,1059
57,1054,1063
58,1054,1060
59,1050,1056
60,1052,1057
61,1053,1058
62,1060,1054
63,1064,1056
64,1059,1062
65,1063,1060
66,1070,1055
67,1078,1050
68,1084,1052
69,1091,1054
70,1095,1055
71,1092,1051
72,1098,1053
